0 660 55 986 197
0 341 304 638 850
0 199 133 461 193
2 322 558 977 958
2 537 781 687 941
1 226 196 599 390
1 240 129 703 297
1 317 329 451 798
1 957 736 977 890
1 263 530 559 664
1 158 270 243 802
2 223 39 454 511
2 544 218 979 872
1 313 306 363 621
2 173 401 496 407
2 333 60 748 159
0 87 577 484 608
1 809 648 826 999
2 352 432 628 550
0 197 408 579 569
0 1 629 802 633
0 61 44 567 111
2 880 25 903 973
1 347 123 864 746
2 728 877 996 975
1 121 895 349 906
1 888 547 931 628
2 398 782 834 882
1 966 850 989 953
0 891 543 914 991
2 908 77 916 117
1 576 900 943 934
0 580 170 963 206
1 184 638 192 944
2 940 147 978 730
0 854 56 965 591
2 717 172 947 995
2 426 987 705 998
1 987 157 992 278
2 995 774 997 784
0 796 96 845 182
0 451 87 711 655
0 380 93 968 676
1 263 468 343 534
1 917 936 928 959
2 478 7 573 148
0 428 339 603 624
0 400 880 914 953
2 679 428 752 779
0 697 981 709 986
2 482 566 505 725
0 956 368 993 516
2 735 823 783 883
0 48 487 892 496
0 116 680 564 819
1 633 865 729 930
0 314 618 571 922
2 138 166 936 266
1 444 732 664 960
0 109 337 972 497
0 51 432 77 996
0 259 297 366 744
2 801 130 917 544
2 767 982 847 996
1 216 507 863 885
0 61 441 465 731
1 849 970 944 987
2 845 76 852 951
2 732 615 851 936
2 251 128 454 778
1 324 429 352 539
2 52 450 932 863
0 449 379 789 490
1 317 319 936 449
2 887 670 957 838
2 671 613 856 664
0 186 648 985 991
0 471 689 731 717
2 91 331 750 758
2 201 73 956 524
2 82 614 520 686
2 84 287 467 734
0 132 367 208 838
2 558 684 663 920
1 237 952 265 997
1 694 713 714 754
1 632 523 862 827
1 918 780 948 916
1 349 586 663 976
2 231 29 257 589
2 886 428 902 993
1 106 353 236 374
1 734 577 759 684
0 347 843 696 912
1 286 699 964 883
1 605 875 960 987
0 328 286 869 461
0 472 569 980 848
2 673 573 702 884
0 398 284 738 332
1 158 50 284 411
0 390 284 585 663
1 156 579 646 581
1 875 493 989 980
2 486 391 924 539
1 236 722 272 964
2 228 282 470 581
2 584 389 750 761
0 899 516 900 925
1 105 229 822 846
0 253 77 371 877
1 826 987 906 992
0 13 152 615 931
1 835 320 942 399
1 463 504 536 720
2 746 942 786 998
0 867 333 965 403
1 591 477 743 692
0 403 437 508 908
1 26 723 368 814
1 409 485 799 809
1 115 630 704 705
0 228 183 317 220
2 300 649 382 842
0 495 365 745 562
1 698 346 744 873
1 822 932 951 934
2 805 30 925 421
2 441 152 653 274
2 160 81 257 587
0 350 781 532 917
2 40 583 348 636
1 280 306 483 395
2 392 936 880 955
2 496 591 851 934
0 780 887 946 994
0 205 735 281 863
2 100 876 937 915
1 392 393 702 878
1 956 374 976 636
2 478 262 894 775
0 279 65 451 677
1 397 541 809 847
1 444 291 451 586
2 721 408 861 598
1 275 365 609 382
1 736 24 839 72
0 86 492 582 712
1 676 676 709 703
0 105 710 374 817
2 328 748 845 757
2 335 79 394 326
2 193 157 633 885
1 227 48 769 743
2 148 333 614 568
2 22 30 436 263
2 547 447 688 969
2 576 621 987 740
1 711 334 799 515
1 541 448 654 951
2 792 199 798 990
1 89 956 609 960
2 724 433 929 630
2 144 895 201 916
2 226 730 632 871
0 760 819 828 974
2 887 180 940 310
2 222 327 805 590
0 630 824 885 963
1 940 740 954 946
1 193 373 779 515
2 304 955 469 975
0 405 480 546 960
1 662 123 690 669
0 615 238 750 714
1 423 220 930 353
1 329 769 358 970
2 590 151 704 722
0 884 539 894 671
2 449 241 984 549
2 449 260 496 464
0 306 448 602 924
1 286 805 555 901
2 722 177 922 298
2 491 554 723 753
1 80 849 174 996
0 296 561 530 856
2 653 10 972 284
2 529 236 672 614
2 791 598 989 695
1 19 45 575 757
2 111 55 880 871
0 197 897 943 982
1 912 336 977 605
2 101 221 537 450
1 101 104 969 447
2 71 527 587 717
2 336 445 593 889
2 214 179 575 699
1 86 313 96 674
2 566 427 906 888
0 641 597 850 845
1 606 524 883 704
1 835 775 867 887
2 547 301 897 515
2 289 930 413 979
1 361 122 457 226
1 162 187 374 746
1 348 461 454 675
0 966 532 985 537
1 172 354 630 606
0 501 880 680 993
0 8 70 566 592
2 433 73 690 651
2 840 798 902 971
2 822 204 893 760
0 453 496 649 795
0 969 549 990 942
0 789 28 930 267
2 880 98 932 434
2 568 674 669 753
1 686 228 903 271
1 263 995 478 999
2 534 675 687 955
0 342 434 592 986
2 404 768 677 867
2 126 723 978 987
2 749 675 978 959
0 445 330 446 885
0 463 205 924 815
0 417 430 915 472
1 544 990 912 999
0 201 255 834 789
0 261 142 537 862
0 562 934 832 984
0 459 978 691 980
0 73 911 971 972
1 560 448 723 810
1 204 630 217 854
0 91 259 611 607
1 877 32 978 815
0 950 438 974 746
2 426 30 609 917
2 696 37 859 201
2 242 417 682 572
0 388 401 979 528
0 79 345 848 685
0 98 91 800 434
2 650 700 972 843
0 530 450 538 926
1 428 559 962 909
1 78 138 92 940
2 194 117 867 157
2 785 355 860 617
0 379 441 935 708
0 605 133 644 911
2 10 963 484 975
0 359 988 525 991
0 509 138 787 411
2 556 467 562 773
1 119 486 246 900
1 445 561 794 673
0 598 681 978 921
0 974 230 995 641
0 760 75 800 275
2 441 215 528 680
0 701 636 928 877
1 165 753 202 780
2 501 412 998 516
2 161 105 657 395
1 113 340 472 972
2 384 994 663 999
1 969 994 983 997
1 519 600 750 615
0 363 899 948 935
1 271 845 454 882
0 376 528 779 640
2 767 98 854 853
2 107 322 378 688
0 235 899 818 932
1 445 611 532 705
2 629 387 814 577
